Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,12,10,0.25,0.25,3017.838033914566,42.74551211043064,42.75606740099688,0.024687234368984158,13,90
Uniform,12,1,0.5,0.5,1060.7792520523071,34.50595688174989,34.54522901772112,0.11368324103767033,20,83
Uniform,12,2,0.5,0.5,920.6691129207611,44.775564140981196,44.814597382919544,0.08709939220211607,16,59
Uniform,12,3,0.5,0.5,1491.2791020870209,32.88533959887196,32.904789443766965,0.0591094646821739,14,55
Uniform,12,4,0.5,0.5,2409.1354188919067,33.29320783240581,33.30992931066333,0.050199681006716644,9,43
Uniform,12,5,0.5,0.5,3134.9827859401703,37.739969453837475,37.764577600121285,0.06516197941991955,63,190
Uniform,12,6,0.5,0.5,3024.9304690361023,34.319474120245644,34.333779586215925,0.041665864180081454,5,26
Uniform,12,7,0.5,0.5,2525.379989862442,32.92421300424243,32.93781863331932,0.041307013158186745,6,25
Uniform,12,8,0.5,0.5,1582.9998090267181,37.901791954591786,37.93361255659439,0.08388497656301455,20,119
Uniform,12,9,0.5,0.5,1056.8234090805054,32.276666152786596,32.299220454085315,0.06982924349762776,14,55
Uniform,12,10,0.5,0.5,2941.965245962143,40.280385622713126,40.30117364296033,0.05158167459679872,16,95
Uniform,12,1,1.0,1.0,2517.6226329803467,32.16722268450579,32.19054057764444,0.07243709711059344,5,13
Uniform,12,2,1.0,1.0,957.5844058990479,40.64519721284303,40.71559306278846,0.17289653582318767,15,34
Uniform,12,3,1.0,1.0,1847.6354849338531,28.453360595262417,28.485994860064753,0.11456248926059853,29,72
Uniform,12,4,1.0,1.0,2097.8747289180756,30.22791165555349,30.249706612785406,0.07205014419116063,7,13
Uniform,12,5,1.0,1.0,1707.958062171936,32.431824765767516,32.48793868569219,0.17272231540312993,38,79
Uniform,12,6,1.0,1.0,2597.620833158493,31.970800350212496,31.990027817489334,0.06010456566820036,3,8
Uniform,12,7,1.0,1.0,807.1330740451813,30.195373255970768,30.22460535072375,0.09671621651887329,12,25
Uniform,12,8,1.0,1.0,1374.529224872589,33.41343576097107,33.490810057169085,0.23103142642992994,30,93
Uniform,12,9,1.0,1.0,2544.935357093811,27.7433226710852,27.775653121699765,0.11639852525846771,15,34
Uniform,12,10,1.0,1.0,1225.9951519966125,35.90439261764753,35.956926686627924,0.14610277857792991,20,47
Uniform,14,1,0.25,0.25,1121.499016046524,39.66776530035631,39.69229993513192,0.06181207643726587,29,141
